"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 26 17:35:03 GMT 2022","Wed Jan 26 17:35:04 GMT 2022","696","Subquery health check","","","","","Production project - wallet-astar is alive",""
"passed","Wed Jan 26 17:35:11 GMT 2022","Wed Jan 26 17:35:11 GMT 2022","464","Subquery health check","","","","","Staging project - wallet-clover is alive",""
"passed","Wed Jan 26 17:35:09 GMT 2022","Wed Jan 26 17:35:10 GMT 2022","1064","Subquery health check","","","","","Staging project - wallet-calamari is alive",""
"passed","Wed Jan 26 17:35:02 GMT 2022","Wed Jan 26 17:35:03 GMT 2022","559","Subquery health check","","","","","Staging project - wallet-altair is alive",""
"passed","Wed Jan 26 17:35:22 GMT 2022","Wed Jan 26 17:35:23 GMT 2022","704","Subquery health check","","","","","Staging project - wallet-parallel-heiko is alive",""
"failed","Wed Jan 26 17:35:05 GMT 2022","Wed Jan 26 17:35:06 GMT 2022","668","Subquery health check","","","","","Staging project - wallet-basilisk is alive",""
"passed","Wed Jan 26 17:35:02 GMT 2022","Wed Jan 26 17:35:02 GMT 2022","928","Subquery health check","","","","","Production project - wallet-altair is alive",""
"passed","Wed Jan 26 17:35:24 GMT 2022","Wed Jan 26 17:35:25 GMT 2022","637","Subquery health check","","","","","Production project - wallet-quartz is alive",""
"passed","Wed Jan 26 17:35:19 GMT 2022","Wed Jan 26 17:35:20 GMT 2022","940","Subquery health check","","","","","Staging project - wallet-moonriver is alive",""
"failed","Wed Jan 26 17:34:58 GMT 2022","Wed Jan 26 17:35:00 GMT 2022","1898","Subquery health check","","","","","Production project - wallet-acala is alive",""
"passed","Wed Jan 26 17:35:20 GMT 2022","Wed Jan 26 17:35:21 GMT 2022","995","Subquery health check","","","","","Staging project - wallet-parallel is alive",""
"passed","Wed Jan 26 17:35:04 GMT 2022","Wed Jan 26 17:35:04 GMT 2022","620","Subquery health check","","","","","Staging project - wallet-astar is alive",""
"failed","Wed Jan 26 17:35:31 GMT 2022","Wed Jan 26 17:35:31 GMT 2022","427","Subquery health check","","","","","Staging project - wallet-shiden is alive",""
