"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 03 07:56:37 GMT 2022","Thu Feb 03 07:56:37 GMT 2022","683","Subquery health check","","","","","Staging project - wallet-statemint is alive",""
"passed","Thu Feb 03 07:56:19 GMT 2022","Thu Feb 03 07:56:20 GMT 2022","470","Subquery health check","","","","","Staging project - wallet-calamari is alive",""
"passed","Thu Feb 03 07:56:20 GMT 2022","Thu Feb 03 07:56:21 GMT 2022","828","Subquery health check","","","","","Staging project - wallet-clover is alive",""
"passed","Thu Feb 03 07:56:27 GMT 2022","Thu Feb 03 07:56:28 GMT 2022","781","Subquery health check","","","","","Production project - wallet-moonbeam is alive",""
"passed","Thu Feb 03 07:56:30 GMT 2022","Thu Feb 03 07:56:31 GMT 2022","938","Subquery health check","","","","","Staging project - wallet-moonriver is alive",""
"passed","Thu Feb 03 07:56:33 GMT 2022","Thu Feb 03 07:56:33 GMT 2022","424","Subquery health check","","","","","Production project - polkadot is alive",""
"passed","Thu Feb 03 07:56:35 GMT 2022","Thu Feb 03 07:56:35 GMT 2022","460","Subquery health check","","","","","Production project - wallet-statemine is alive",""
"passed","Thu Feb 03 07:56:39 GMT 2022","Thu Feb 03 07:56:39 GMT 2022","626","Subquery health check","","","","","Production project - wallet-shiden is alive",""
"passed","Thu Feb 03 07:56:13 GMT 2022","Thu Feb 03 07:56:14 GMT 2022","773","Subquery health check","","","","","Production project - wallet-astar is alive",""
"passed","Thu Feb 03 07:56:29 GMT 2022","Thu Feb 03 07:56:30 GMT 2022","670","Subquery health check","","","","","Production project - wallet-moonriver is alive",""
"passed","Thu Feb 03 07:56:18 GMT 2022","Thu Feb 03 07:56:19 GMT 2022","549","Subquery health check","","","","","Staging project - wallet-bit-country is alive",""
"passed","Thu Feb 03 07:56:24 GMT 2022","Thu Feb 03 07:56:25 GMT 2022","621","Subquery health check","","","","","Staging project - wallet-khala is alive",""
"passed","Thu Feb 03 07:56:15 GMT 2022","Thu Feb 03 07:56:15 GMT 2022","540","Subquery health check","","","","","Production project - wallet-basilisk is alive",""
"passed","Thu Feb 03 07:56:18 GMT 2022","Thu Feb 03 07:56:18 GMT 2022","442","Subquery health check","","","","","Production project - wallet-bit-country is alive",""
"passed","Thu Feb 03 07:56:36 GMT 2022","Thu Feb 03 07:56:37 GMT 2022","721","Subquery health check","","","","","Production project - wallet-statemint is alive",""
"passed","Thu Feb 03 07:56:35 GMT 2022","Thu Feb 03 07:56:36 GMT 2022","756","Subquery health check","","","","","Staging project - wallet-statemine is alive",""
"passed","Thu Feb 03 07:56:34 GMT 2022","Thu Feb 03 07:56:34 GMT 2022","432","Subquery health check","","","","","Production project - wallet-quartz is alive",""
"passed","Thu Feb 03 07:56:31 GMT 2022","Thu Feb 03 07:56:32 GMT 2022","795","Subquery health check","","","","","Staging project - wallet-parallel is alive",""
"passed","Thu Feb 03 07:56:32 GMT 2022","Thu Feb 03 07:56:33 GMT 2022","598","Subquery health check","","","","","Production project - wallet-parallel-heiko is alive",""
"failed","Thu Feb 03 07:56:38 GMT 2022","Thu Feb 03 07:56:39 GMT 2022","635","Subquery health check","","","","","Staging project - westend is alive",""
"passed","Thu Feb 03 07:56:37 GMT 2022","Thu Feb 03 07:56:38 GMT 2022","705","Subquery health check","","","","","Production project - westend is alive",""
"passed","Thu Feb 03 07:56:25 GMT 2022","Thu Feb 03 07:56:25 GMT 2022","507","Subquery health check","","","","","Production project - wallet-kilt is alive",""
"passed","Thu Feb 03 07:56:19 GMT 2022","Thu Feb 03 07:56:19 GMT 2022","509","Subquery health check","","","","","Production project - wallet-calamari is alive",""
"passed","Thu Feb 03 07:56:20 GMT 2022","Thu Feb 03 07:56:20 GMT 2022","560","Subquery health check","","","","","Production project - wallet-clover is alive",""
"failed","Thu Feb 03 07:56:33 GMT 2022","Thu Feb 03 07:56:34 GMT 2022","359","Subquery health check","","","","","Staging project - polkadot is alive",""
"failed","Thu Feb 03 07:56:22 GMT 2022","Thu Feb 03 07:56:22 GMT 2022","686","Subquery health check","","","","","Staging project - edgeware is alive",""
"passed","Thu Feb 03 07:56:33 GMT 2022","Thu Feb 03 07:56:33 GMT 2022","339","Subquery health check","","","","","Staging project - wallet-parallel-heiko is alive",""
"passed","Thu Feb 03 07:56:17 GMT 2022","Thu Feb 03 07:56:18 GMT 2022","596","Subquery health check","","","","","Staging project - wallet-bifrost is alive",""
"passed","Thu Feb 03 07:56:23 GMT 2022","Thu Feb 03 07:56:24 GMT 2022","642","Subquery health check","","","","","Staging project - wallet-karura is alive",""
"passed","Thu Feb 03 07:56:24 GMT 2022","Thu Feb 03 07:56:24 GMT 2022","514","Subquery health check","","","","","Production project - wallet-khala is alive",""
"failed","Thu Feb 03 07:56:15 GMT 2022","Thu Feb 03 07:56:16 GMT 2022","424","Subquery health check","","","","","Staging project - wallet-basilisk is alive",""
"failed","Thu Feb 03 07:56:10 GMT 2022","Thu Feb 03 07:56:11 GMT 2022","1308","Subquery health check","","","","","Production project - wallet-acala is alive",""
"failed","Thu Feb 03 07:56:11 GMT 2022","Thu Feb 03 07:56:12 GMT 2022","821","Subquery health check","","","","","Staging project - wallet-acala is alive",""
"passed","Thu Feb 03 07:56:34 GMT 2022","Thu Feb 03 07:56:35 GMT 2022","318","Subquery health check","","","","","Staging project - wallet-quartz is alive",""
"failed","Thu Feb 03 07:56:21 GMT 2022","Thu Feb 03 07:56:22 GMT 2022","791","Subquery health check","","","","","Production project - edgeware is alive",""
"passed","Thu Feb 03 07:56:31 GMT 2022","Thu Feb 03 07:56:31 GMT 2022","784","Subquery health check","","","","","Production project - wallet-parallel is alive",""
"passed","Thu Feb 03 07:56:26 GMT 2022","Thu Feb 03 07:56:26 GMT 2022","652","Subquery health check","","","","","Production project - kusama is alive",""
"failed","Thu Feb 03 07:56:26 GMT 2022","Thu Feb 03 07:56:27 GMT 2022","630","Subquery health check","","","","","Staging project - kusama is alive",""
"passed","Thu Feb 03 07:56:16 GMT 2022","Thu Feb 03 07:56:17 GMT 2022","1465","Subquery health check","","","","","Production project - wallet-bifrost is alive",""
"passed","Thu Feb 03 07:56:39 GMT 2022","Thu Feb 03 07:56:40 GMT 2022","625","Subquery health check","","","","","Staging project - wallet-shiden is alive",""
"passed","Thu Feb 03 07:56:14 GMT 2022","Thu Feb 03 07:56:15 GMT 2022","488","Subquery health check","","","","","Staging project - wallet-astar is alive",""
"passed","Thu Feb 03 07:56:12 GMT 2022","Thu Feb 03 07:56:13 GMT 2022","681","Subquery health check","","","","","Production project - wallet-altair is alive",""
"passed","Thu Feb 03 07:56:13 GMT 2022","Thu Feb 03 07:56:13 GMT 2022","665","Subquery health check","","","","","Staging project - wallet-altair is alive",""
"failed","Thu Feb 03 07:56:25 GMT 2022","Thu Feb 03 07:56:26 GMT 2022","517","Subquery health check","","","","","Staging project - wallet-kilt is alive",""
"failed","Thu Feb 03 07:56:28 GMT 2022","Thu Feb 03 07:56:29 GMT 2022","1096","Subquery health check","","","","","Staging project - wallet-moonbeam is alive",""
"passed","Thu Feb 03 07:56:22 GMT 2022","Thu Feb 03 07:56:23 GMT 2022","534","Subquery health check","","","","","Production project - wallet-karura is alive",""
