"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 07 08:25:12 GMT 2022","Mon Feb 07 08:25:12 GMT 2022","563","Subquery health check","","","","","Production project - wallet-statemine is alive",""
"passed","Mon Feb 07 08:25:12 GMT 2022","Mon Feb 07 08:25:13 GMT 2022","585","Subquery health check","","","","","Staging project - wallet-statemine is alive",""
"passed","Mon Feb 07 08:25:00 GMT 2022","Mon Feb 07 08:25:01 GMT 2022","631","Subquery health check","","","","","Staging project - wallet-clover is alive",""
"passed","Mon Feb 07 08:25:02 GMT 2022","Mon Feb 07 08:25:03 GMT 2022","597","Subquery health check","","","","","Staging project - wallet-karura is alive",""
"failed","Mon Feb 07 08:25:06 GMT 2022","Mon Feb 07 08:25:07 GMT 2022","439","Subquery health check","","","","","Staging project - wallet-moonbeam is alive",""
"passed","Mon Feb 07 08:24:51 GMT 2022","Mon Feb 07 08:24:52 GMT 2022","579","Subquery health check","","","","","Staging project - wallet-acala is alive",""
"passed","Mon Feb 07 08:24:58 GMT 2022","Mon Feb 07 08:24:58 GMT 2022","787","Subquery health check","","","","","Production project - wallet-calamari is alive",""
"passed","Mon Feb 07 08:25:11 GMT 2022","Mon Feb 07 08:25:11 GMT 2022","450","Subquery health check","","","","","Production project - wallet-quartz is alive",""
"passed","Mon Feb 07 08:24:53 GMT 2022","Mon Feb 07 08:24:54 GMT 2022","472","Subquery health check","","","","","Production project - wallet-astar is alive",""
"passed","Mon Feb 07 08:25:16 GMT 2022","Mon Feb 07 08:25:17 GMT 2022","697","Subquery health check","","","","","Production project - wallet-shiden is alive",""
"failed","Mon Feb 07 08:25:04 GMT 2022","Mon Feb 07 08:25:05 GMT 2022","438","Subquery health check","","","","","Staging project - wallet-kilt is alive",""
"passed","Mon Feb 07 08:25:08 GMT 2022","Mon Feb 07 08:25:09 GMT 2022","769","Subquery health check","","","","","Staging project - wallet-parallel is alive",""
"passed","Mon Feb 07 08:25:13 GMT 2022","Mon Feb 07 08:25:14 GMT 2022","649","Subquery health check","","","","","Production project - wallet-statemint is alive",""
"failed","Mon Feb 07 08:25:15 GMT 2022","Mon Feb 07 08:25:16 GMT 2022","701","Subquery health check","","","","","Staging project - westend is alive",""
"passed","Mon Feb 07 08:24:57 GMT 2022","Mon Feb 07 08:24:57 GMT 2022","363","Subquery health check","","","","","Production project - wallet-bit-country is alive",""
"passed","Mon Feb 07 08:25:04 GMT 2022","Mon Feb 07 08:25:04 GMT 2022","461","Subquery health check","","","","","Production project - wallet-kilt is alive",""
"passed","Mon Feb 07 08:24:52 GMT 2022","Mon Feb 07 08:24:53 GMT 2022","606","Subquery health check","","","","","Staging project - wallet-altair is alive",""
"passed","Mon Feb 07 08:24:55 GMT 2022","Mon Feb 07 08:24:56 GMT 2022","930","Subquery health check","","","","","Production project - wallet-bifrost is alive",""
"passed","Mon Feb 07 08:25:07 GMT 2022","Mon Feb 07 08:25:07 GMT 2022","426","Subquery health check","","","","","Production project - wallet-moonriver is alive",""
"failed","Mon Feb 07 08:25:03 GMT 2022","Mon Feb 07 08:25:04 GMT 2022","456","Subquery health check","","","","","Staging project - wallet-khala is alive",""
"failed","Mon Feb 07 08:25:10 GMT 2022","Mon Feb 07 08:25:11 GMT 2022","528","Subquery health check","","","","","Staging project - polkadot is alive",""
"passed","Mon Feb 07 08:25:07 GMT 2022","Mon Feb 07 08:25:08 GMT 2022","516","Subquery health check","","","","","Production project - wallet-parallel is alive",""
"failed","Mon Feb 07 08:25:03 GMT 2022","Mon Feb 07 08:25:03 GMT 2022","405","Subquery health check","","","","","Production project - wallet-khala is alive",""
"passed","Mon Feb 07 08:25:10 GMT 2022","Mon Feb 07 08:25:10 GMT 2022","425","Subquery health check","","","","","Production project - polkadot is alive",""
"passed","Mon Feb 07 08:25:09 GMT 2022","Mon Feb 07 08:25:10 GMT 2022","508","Subquery health check","","","","","Staging project - wallet-parallel-heiko is alive",""
"passed","Mon Feb 07 08:25:17 GMT 2022","Mon Feb 07 08:25:17 GMT 2022","561","Subquery health check","","","","","Staging project - wallet-shiden is alive",""
"passed","Mon Feb 07 08:25:05 GMT 2022","Mon Feb 07 08:25:05 GMT 2022","448","Subquery health check","","","","","Production project - kusama is alive",""
"passed","Mon Feb 07 08:25:11 GMT 2022","Mon Feb 07 08:25:12 GMT 2022","527","Subquery health check","","","","","Staging project - wallet-quartz is alive",""
"passed","Mon Feb 07 08:25:02 GMT 2022","Mon Feb 07 08:25:02 GMT 2022","549","Subquery health check","","","","","Production project - wallet-karura is alive",""
"passed","Mon Feb 07 08:25:06 GMT 2022","Mon Feb 07 08:25:06 GMT 2022","436","Subquery health check","","","","","Production project - wallet-moonbeam is alive",""
"passed","Mon Feb 07 08:24:56 GMT 2022","Mon Feb 07 08:24:57 GMT 2022","702","Subquery health check","","","","","Staging project - wallet-bifrost is alive",""
"passed","Mon Feb 07 08:24:59 GMT 2022","Mon Feb 07 08:25:00 GMT 2022","764","Subquery health check","","","","","Production project - wallet-clover is alive",""
"passed","Mon Feb 07 08:25:14 GMT 2022","Mon Feb 07 08:25:14 GMT 2022","847","Subquery health check","","","","","Staging project - wallet-statemint is alive",""
"passed","Mon Feb 07 08:25:07 GMT 2022","Mon Feb 07 08:25:07 GMT 2022","334","Subquery health check","","","","","Staging project - wallet-moonriver is alive",""
"passed","Mon Feb 07 08:24:51 GMT 2022","Mon Feb 07 08:24:51 GMT 2022","693","Subquery health check","","","","","Production project - wallet-acala is alive",""
"failed","Mon Feb 07 08:24:55 GMT 2022","Mon Feb 07 08:24:55 GMT 2022","462","Subquery health check","","","","","Staging project - wallet-basilisk is alive",""
"passed","Mon Feb 07 08:24:52 GMT 2022","Mon Feb 07 08:24:52 GMT 2022","614","Subquery health check","","","","","Production project - wallet-altair is alive",""
"failed","Mon Feb 07 08:25:01 GMT 2022","Mon Feb 07 08:25:02 GMT 2022","540","Subquery health check","","","","","Staging project - edgeware is alive",""
"failed","Mon Feb 07 08:25:05 GMT 2022","Mon Feb 07 08:25:06 GMT 2022","447","Subquery health check","","","","","Staging project - kusama is alive",""
"failed","Mon Feb 07 08:25:01 GMT 2022","Mon Feb 07 08:25:01 GMT 2022","744","Subquery health check","","","","","Production project - edgeware is alive",""
"passed","Mon Feb 07 08:25:09 GMT 2022","Mon Feb 07 08:25:09 GMT 2022","715","Subquery health check","","","","","Production project - wallet-parallel-heiko is alive",""
"passed","Mon Feb 07 08:25:14 GMT 2022","Mon Feb 07 08:25:15 GMT 2022","962","Subquery health check","","","","","Production project - westend is alive",""
"passed","Mon Feb 07 08:24:58 GMT 2022","Mon Feb 07 08:24:59 GMT 2022","837","Subquery health check","","","","","Staging project - wallet-calamari is alive",""
"passed","Mon Feb 07 08:24:54 GMT 2022","Mon Feb 07 08:24:55 GMT 2022","599","Subquery health check","","","","","Production project - wallet-basilisk is alive",""
"passed","Mon Feb 07 08:24:54 GMT 2022","Mon Feb 07 08:24:54 GMT 2022","566","Subquery health check","","","","","Staging project - wallet-astar is alive",""
"passed","Mon Feb 07 08:24:57 GMT 2022","Mon Feb 07 08:24:58 GMT 2022","487","Subquery health check","","","","","Staging project - wallet-bit-country is alive",""
