"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 15 08:37:58 GMT 2022","Tue Feb 15 08:37:58 GMT 2022","873","Subquery health check","","","","","Production project - wallet-clover is alive",""
"passed","Tue Feb 15 08:37:51 GMT 2022","Tue Feb 15 08:37:52 GMT 2022","701","Subquery health check","","","","","Production project - wallet-basilisk is alive",""
"passed","Tue Feb 15 08:38:17 GMT 2022","Tue Feb 15 08:38:18 GMT 2022","672","Subquery health check","","","","","Staging project - wallet-statemine is alive",""
"passed","Tue Feb 15 08:38:15 GMT 2022","Tue Feb 15 08:38:16 GMT 2022","644","Subquery health check","","","","","Production project - wallet-quartz is alive",""
"passed","Tue Feb 15 08:37:56 GMT 2022","Tue Feb 15 08:37:57 GMT 2022","1046","Subquery health check","","","","","Production project - wallet-calamari is alive",""
"passed","Tue Feb 15 08:38:12 GMT 2022","Tue Feb 15 08:38:13 GMT 2022","732","Subquery health check","","","","","Production project - wallet-parallel-heiko is alive",""
"passed","Tue Feb 15 08:38:05 GMT 2022","Tue Feb 15 08:38:05 GMT 2022","684","Subquery health check","","","","","Production project - wallet-kilt is alive",""
"passed","Tue Feb 15 08:38:06 GMT 2022","Tue Feb 15 08:38:07 GMT 2022","527","Subquery health check","","","","","Production project - kusama is alive",""
"passed","Tue Feb 15 08:38:21 GMT 2022","Tue Feb 15 08:38:21 GMT 2022","861","Subquery health check","","","","","Staging project - westend is alive",""
"passed","Tue Feb 15 08:38:07 GMT 2022","Tue Feb 15 08:38:08 GMT 2022","976","Subquery health check","","","","","Production project - wallet-moonbeam is alive",""
"failed","Tue Feb 15 08:38:08 GMT 2022","Tue Feb 15 08:38:09 GMT 2022","961","Subquery health check","","","","","Staging project - wallet-moonbeam is alive",""
"passed","Tue Feb 15 08:38:16 GMT 2022","Tue Feb 15 08:38:17 GMT 2022","640","Subquery health check","","","","","Production project - wallet-statemine is alive",""
"failed","Tue Feb 15 08:38:02 GMT 2022","Tue Feb 15 08:38:03 GMT 2022","757","Subquery health check","","","","","Staging project - wallet-karura is alive",""
"passed","Tue Feb 15 08:37:48 GMT 2022","Tue Feb 15 08:37:49 GMT 2022","1341","Subquery health check","","","","","Staging project - wallet-altair is alive",""
"passed","Tue Feb 15 08:38:01 GMT 2022","Tue Feb 15 08:38:02 GMT 2022","809","Subquery health check","","","","","Production project - wallet-karura is alive",""
"failed","Tue Feb 15 08:37:59 GMT 2022","Tue Feb 15 08:38:00 GMT 2022","870","Subquery health check","","","","","Production project - edgeware is alive",""
"passed","Tue Feb 15 08:38:18 GMT 2022","Tue Feb 15 08:38:18 GMT 2022","685","Subquery health check","","","","","Production project - wallet-statemint is alive",""
"failed","Tue Feb 15 08:37:52 GMT 2022","Tue Feb 15 08:37:52 GMT 2022","502","Subquery health check","","","","","Staging project - wallet-basilisk is alive",""
"passed","Tue Feb 15 08:38:20 GMT 2022","Tue Feb 15 08:38:21 GMT 2022","889","Subquery health check","","","","","Production project - westend is alive",""
"passed","Tue Feb 15 08:37:49 GMT 2022","Tue Feb 15 08:37:50 GMT 2022","850","Subquery health check","","","","","Production project - wallet-astar is alive",""
"passed","Tue Feb 15 08:38:16 GMT 2022","Tue Feb 15 08:38:16 GMT 2022","679","Subquery health check","","","","","Staging project - wallet-quartz is alive",""
"passed","Tue Feb 15 08:38:00 GMT 2022","Tue Feb 15 08:38:01 GMT 2022","837","Subquery health check","","","","","Staging project - edgeware is alive",""
"passed","Tue Feb 15 08:38:18 GMT 2022","Tue Feb 15 08:38:20 GMT 2022","1235","Subquery health check","","","","","Staging project - wallet-statemint is alive",""
